Date,Shift,Name,T1,T2,Dt,From,To,Way,Std,S,V
23-03-06,3,Pallet truck 02,02:09:38,02:11:26,108,machine_shop,cell_16,1,34.819816,141.100151,1.306483
23-03-06,3,Cart 10,06:29:43,06:33:38,235,sheet_metal,clearing_bldg,1,53.629599,208.678560,0.887994
23-03-06,3,Cart 10,06:37:30,06:40:09,159,cell_16,machine_shop,1,25.966498,132.757752,0.834954
23-03-07,1,Forklift 01,14:42:46,14:48:45,359,tool_storage,clearing_bldg,1,62.701551,489.406793,1.363250
23-03-07,1,Pallet truck 02,10:32:15,10:35:05,170,cell_16,trunion_cell,1,27.341384,153.331745,0.901951
23-03-07,1,Pallet truck 02,10:43:33,10:46:21,168,sheet_metal,cell_16,1,41.111279,182.001154,1.083340
23-03-07,1,Pallet truck 02,10:52:07,10:55:37,210,cell_16,trunion_cell,1,28.476410,169.948258,0.809277
23-03-07,1,Pallet truck 02,11:04:49,11:06:46,117,unknown,press_room,1,22.844693,138.752586,1.185920
23-03-07,1,Pallet truck 03,11:49:19,11:53:17,238,clearing_bldg,sheet_metal,1,48.885693,206.802056,0.868916
23-03-07,1,Pallet truck 03,11:53:50,11:55:14,84,sheet_metal,unknown,1,17.048924,83.154342,0.989933
23-03-07,1,Pallet truck 03,11:58:57,12:00:32,95,bldg_2_entry_area,clearing_bldg,1,36.304202,133.278879,1.402936
23-03-07,1,Cart 04,07:58:47,08:05:32,405,clearing_bldg,sheet_metal,2,56.946387,469.172189,1.158450
23-03-07,1,Cart 04,08:37:40,08:44:02,382,clearing_bldg,sheet_metal,2,61.547980,472.927609,1.238030
23-03-07,1,Cart 04,10:15:50,10:16:48,58,cell_16,clearing_bldg,1,15.788124,52.648790,0.907738
23-03-07,1,Cart 04,10:37:25,10:41:43,258,shear_rolled_vane_cell,clearing_bldg,1,50.570666,420.549426,1.630037
23-03-07,1,Pallet truck 07,10:42:59,10:43:50,51,unknown,sheet_metal,1,20.736021,114.863527,2.252226
23-03-07,1,Cart 09,11:04:41,11:06:07,86,sheet_metal,bldg_2_entry_area,1,19.476419,85.149911,0.990115
23-03-07,1,Cart 09,11:11:17,11:12:49,92,bldg_2_entry_area,sheet_metal,1,20.946446,118.478346,1.287808
23-03-07,1,Cart 09,11:57:40,12:01:52,252,machine_shop,sheet_metal,1,19.023063,267.343631,1.060887
23-03-07,1,Cart 09,13:36:27,13:39:11,164,sheet_metal,tool_room,1,38.728599,168.508593,1.027491
23-03-07,1,Cart 09,13:51:53,13:54:51,178,cell_16,sheet_metal,1,39.374583,200.028699,1.123757
23-03-07,1,Pallet truck 11,09:54:07,09:59:56,349,bldg_2_entry_area,tool_storage,2,42.962030,314.904455,0.902305
23-03-07,1,Cart 12,07:06:18,07:10:07,229,laser,shear_rolled_vane_cell,1,36.413580,222.416507,0.971251
23-03-07,1,Cart 12,07:10:46,07:12:48,122,shear_rolled_vane_cell,laser,1,36.871478,275.491460,2.258127
23-03-07,1,Pallet truck 14,08:10:23,08:24:46,863,press_room,cell_16,1,17.881046,717.651544,0.831578
23-03-07,1,Pallet truck 14,08:29:20,08:32:59,219,cell_16,tool_storage,2,20.830190,285.489906,1.303607
23-03-07,1,Cart 15,07:48:15,07:51:09,174,cell_16,tool_storage,2,17.432752,146.507822,0.841999
23-03-07,1,Cart 15,10:51:22,10:56:36,314,cell_16,nozzle_cell,2,33.764412,359.979770,1.146432
23-03-07,1,Cart 15,12:16:01,12:18:43,162,cell_16,trunion_cell,1,34.211493,188.778527,1.165300
23-03-07,1,Cart 15,12:35:35,12:36:55,80,unknown,cell_16,1,19.254087,124.072733,1.550909
23-03-07,1,Forklift 17,08:33:27,08:34:41,74,shear_rolled_vane_cell,bldg_2_entry_area,1,37.630415,168.279871,2.274052
23-03-07,1,Forklift 17,08:37:19,08:38:38,79,bldg_2_entry_area,tool_storage,1,44.019038,166.564293,2.108409
23-03-07,1,Forklift 17,08:49:20,08:51:47,147,tool_storage,bldg_2_entry_area,1,54.684378,185.884523,1.264521
23-03-07,1,Forklift 17,08:52:34,08:55:01,147,bldg_2_entry_area,clearing_bldg,1,37.531784,146.002924,0.993217
23-03-07,1,Forklift 17,10:19:52,10:22:19,147,clearing_bldg,shear_rolled_vane_cell,1,33.641907,560.307326,3.811614
23-03-07,1,Forklift 17,11:28:20,11:31:47,207,shear_rolled_vane_cell,trunion_cell,1,52.462642,296.464879,1.432197
23-03-07,1,Forklift 17,11:35:29,11:36:55,86,bldg_2_entry_area,tool_storage,1,40.169107,148.721607,1.729321
23-03-07,1,Forklift 17,11:38:01,11:44:24,383,tool_storage,bldg_2_entry_area,2,69.256350,601.414403,1.570273
23-03-07,1,Forklift 17,11:55:51,11:59:51,240,tool_storage,machine_shop,1,62.197620,226.843892,0.945183
23-03-07,1,Forklift 17,12:00:46,12:04:29,223,machine_shop,tool_storage,1,64.098731,242.394220,1.086970
23-03-07,1,Forklift 17,12:26:18,12:30:49,271,tool_storage,bldg_2_entry_area,2,47.987019,368.456777,1.359619
23-03-07,1,Forklift 17,13:31:49,13:35:18,209,shear_rolled_vane_cell,press_room,1,15.578891,282.451076,1.351441
23-03-07,1,Forklift 17,13:56:36,13:58:38,122,shear_rolled_vane_cell,bldg_2_entry_area,1,44.747120,179.236925,1.469155
23-03-07,1,Forklift 17,13:59:44,14:02:50,186,bldg_2_entry_area,press_room,1,39.068470,265.097873,1.425257
23-03-07,1,Forklift 17,14:25:17,14:37:18,721,shear_rolled_vane_cell,clearing_bldg,1,62.770988,756.112648,1.048700
23-03-07,1,Forklift 17,14:45:26,14:51:56,390,shear_rolled_vane_cell,tool_storage,1,42.765950,495.405909,1.270272
23-03-07,2,Forklift 01,16:02:42,16:06:42,240,tool_storage,sheet_metal,1,66.526938,292.580477,1.219085
23-03-07,2,Forklift 01,16:15:08,16:16:38,90,sheet_metal,clearing_bldg,1,57.034642,202.649840,2.251665
23-03-07,2,Forklift 01,21:56:20,21:59:51,211,tool_storage,bldg_2_entry_area,1,47.770160,189.389617,0.897581
23-03-07,2,Forklift 01,22:00:11,22:00:38,27,bldg_2_entry_area,machine_shop,1,15.661490,68.210802,2.526326
23-03-07,2,Forklift 01,22:13:31,22:15:11,100,sheet_metal,tool_storage,1,59.118817,224.697715,2.246977
23-03-07,2,Pallet truck 02,21:02:28,21:05:14,166,clearing_bldg,cell_16,2,16.995422,145.852387,0.878629
23-03-07,2,Cart 09,16:59:46,17:10:03,617,sheet_metal,tool_storage,2,53.055422,735.237818,1.191633
23-03-07,2,Cart 09,18:56:49,19:00:53,244,sheet_metal,clearing_bldg,1,52.861074,260.836077,1.069000
23-03-07,2,Cart 09,19:09:51,19:13:28,217,clearing_bldg,machine_shop,1,41.541915,235.520174,1.085346
23-03-07,3,Forklift 01,05:27:33,05:29:02,89,clearing_bldg,machine_shop,1,45.066463,186.681720,2.097547
23-03-07,3,Forklift 01,06:09:54,06:11:13,79,sheet_metal,clearing_bldg,1,53.158397,185.071544,2.342678
23-03-07,3,Pallet truck 02,05:42:44,05:44:19,95,shear_rolled_vane_cell,unknown,1,32.403485,119.759928,1.260631
23-03-07,3,Pallet truck 02,05:46:37,05:47:43,66,bldg_2_entry_area,sheet_metal,1,21.287405,95.393292,1.445353
23-03-07,3,Pallet truck 02,06:01:47,06:07:58,371,machine_shop,clearing_bldg,1,56.560162,279.576403,0.753575
23-03-07,3,Pallet truck 03,02:48:32,02:51:42,190,clearing_bldg,unknown,1,46.428375,234.475111,1.234080
23-03-07,3,Pallet truck 03,02:56:34,02:58:35,121,unknown,clearing_bldg,1,37.598729,199.419477,1.648095
23-03-07,3,Forklift 17,05:01:44,05:04:00,136,tool_storage,machine_shop,1,49.766795,202.688765,1.490359
23-03-07,3,Forklift 17,05:14:16,05:15:29,73,unknown,press_room,1,43.985846,140.682941,1.927164
23-03-08,1,Forklift 01,09:07:17,09:09:31,134,clearing_bldg,machine_shop,1,51.624128,219.110530,1.635153
23-03-08,1,Forklift 01,09:16:07,09:17:03,56,sheet_metal,clearing_bldg,1,45.452102,189.499772,3.383925
